"Havaintoasema","Vuosi","Kuukausi","Päivä","Aika [Paikallinen aika]","Sademäärä [mm]","Lumensyvyys [cm]","Ilman keskilämpötila [°C]","Maanpintaminimi [°C]","Ylin lämpötila [°C]","Alin lämpötila [°C]"
"Tampere Härmälä","2019","3","21","02:00","-1","24","3.2","-","7.3","-1.5"
"Tampere Härmälä","2019","3","22","02:00","-1","22","2.6","-","6.1","0.1"
"Tampere Härmälä","2019","3","23","02:00","1.4","21","3.8","-","7.1","0.9"
"Tampere Härmälä","2019","3","24","02:00","-1","18","2.4","-","5","1.6"
"Tampere Härmälä","2019","3","25","02:00","0.1","17","-0.5","-","4.6","-5.6"
"Tampere Härmälä","2019","3","26","02:00","-1","17","-1.7","-","2.6","-7.6"
"Tampere Härmälä","2019","3","27","02:00","-1","17","-1.4","-","3.4","-9.4"
"Tampere Härmälä","2019","3","28","02:00","-1","16","3.2","-","9.8","-4.5"
"Tampere Härmälä","2019","3","29","02:00","0.1","13","7.5","-","12.4","4.3"
"Tampere Härmälä","2019","3","30","02:00","0.7","6","4.9","-","7.9","3.4"
"Tampere Härmälä","2019","3","31","02:00","-1","2","2.4","-","5.7","0.4"
"Tampere Härmälä","2019","4","1","03:00","-1","-1","1.9","-","6.2","-2.6"
"Tampere Härmälä","2019","4","2","03:00","-1","-1","3.4","-","8.8","-1.4"
"Tampere Härmälä","2019","4","3","03:00","-1","-1","4.7","-","11.7","-0.5"
"Tampere Härmälä","2019","4","4","03:00","-1","-1","6.8","-","13","-0.1"
"Tampere Härmälä","2019","4","5","03:00","-1","-1","2.8","-","10.6","-2.3"
"Tampere Härmälä","2019","4","6","03:00","-1","-1","7.4","-","13.7","-2.2"
"Tampere Härmälä","2019","4","7","03:00","1.4","-1","6.5","-","12.5","0.4"
"Tampere Härmälä","2019","4","8","03:00","6","-1","2.4","-","6.6","0.6"
"Tampere Härmälä","2019","4","9","03:00","2.3","2","-0.2","-","0.9","-0.7"
"Tampere Härmälä","2019","4","10","03:00","-1","5","-2.5","-","-0.6","-3.2"
"Tampere Härmälä","2019","4","11","03:00","-1","4","-2","-","2.3","-6.5"
"Tampere Härmälä","2019","4","12","03:00","-1","-1","-1.5","-","4.5","-8.4"
"Tampere Härmälä","2019","4","13","03:00","-1","-1","1.9","-","5.6","-3.3"
"Tampere Härmälä","2019","4","14","03:00","-1","-1","3.3","-","8.3","-0.3"
"Tampere Härmälä","2019","4","15","03:00","-1","-1","2.9","-","10.3","-5.6"
"Tampere Härmälä","2019","4","15","09:00","-","-","-","-8.7","-","-"
"Tampere Härmälä","2019","4","16","03:00","-1","-1","4.7","-","12.6","-4.3"
"Tampere Härmälä","2019","4","16","09:00","-","-","-","-7.3","-","-"
"Tampere Härmälä","2019","4","17","03:00","-1","-1","6.6","-","15.8","-3.8"
"Tampere Härmälä","2019","4","17","09:00","-","-","-","-7.5","-","-"
"Tampere Härmälä","2019","4","18","03:00","-1","-1","8.5","-","17.3","-2.7"
"Tampere Härmälä","2019","4","18","09:00","-","-","-","-6.4","-","-"
"Tampere Härmälä","2019","4","19","03:00","-1","-1","7.9","-","15.4","-0.8"
"Tampere Härmälä","2019","4","19","09:00","-","-","-","-4","-","-"
"Tampere Härmälä","2019","4","20","03:00","0.1","-1","6.5","-","11.2","2.3"
"Tampere Härmälä","2019","4","20","09:00","-","-","-","-1.2","-","-"
"Tampere Härmälä","2019","4","21","03:00","-1","-1","8.3","-","14.2","-1.5"
"Tampere Härmälä","2019","4","21","09:00","-","-","-","-5.3","-","-"
"Tampere Härmälä","2019","4","22","03:00","-1","-1","11.4","-","16.6","7.3"
"Tampere Härmälä","2019","4","22","09:00","-","-","-","6.6","-","-"
"Tampere Härmälä","2019","4","23","03:00","-1","-1","12.6","-","19.1","6.2"
"Tampere Härmälä","2019","4","23","09:00","-","-","-","1.8","-","-"
"Tampere Härmälä","2019","4","24","03:00","-1","-1","12.1","-","20.5","0.4"
"Tampere Härmälä","2019","4","24","09:00","-","-","-","-3.2","-","-"
"Tampere Härmälä","2019","4","25","03:00","-1","-1","13","-","20.9","3"
"Tampere Härmälä","2019","4","25","09:00","-","-","-","-0.7","-","-"
"Tampere Härmälä","2019","4","26","03:00","-1","-1","11.9","-","17.6","5.5"
"Tampere Härmälä","2019","4","26","09:00","-","-","-","2","-","-"
"Tampere Härmälä","2019","4","27","03:00","-1","-1","13.1","-","20.1","3.6"
"Tampere Härmälä","2019","4","27","09:00","-","-","-","-0.1","-","-"
"Tampere Härmälä","2019","4","28","03:00","-1","-1","6.6","-","17.1","3"
"Tampere Härmälä","2019","4","28","09:00","-","-","-","2.3","-","-"
"Tampere Härmälä","2019","4","29","03:00","-1","-1","7.7","-","15.5","-3"
"Tampere Härmälä","2019","4","29","09:00","-","-","-","-7.6","-","-"
"Tampere Härmälä","2019","4","30","03:00","-1","-1","8.8","-","15.3","4.1"
"Tampere Härmälä","2019","4","30","09:00","-","-","-","0","-","-"
"Tampere Härmälä","2019","5","1","03:00","7.4","-1","6.3","-","14.9","0.6"
"Tampere Härmälä","2019","5","1","09:00","-","-","-","-4.1","-","-"
"Tampere Härmälä","2019","5","2","03:00","0.5","-1","2.6","-","4.6","1.3"
"Tampere Härmälä","2019","5","2","09:00","-","-","-","2.5","-","-"
"Tampere Härmälä","2019","5","3","03:00","-1","-1","0.2","-","3","-0.9"
"Tampere Härmälä","2019","5","3","09:00","-","-","-","-0.8","-","-"
"Tampere Härmälä","2019","5","4","03:00","0.3","-1","1.5","-","5.6","-3.1"
"Tampere Härmälä","2019","5","4","09:00","-","-","-","-4.5","-","-"
"Tampere Härmälä","2019","5","5","03:00","-1","-1","3.6","-","9.2","-2.9"
"Tampere Härmälä","2019","5","5","09:00","-","-","-","-7.9","-","-"
"Tampere Härmälä","2019","5","6","03:00","-1","-1","6","-","12.2","-3.8"
"Tampere Härmälä","2019","5","6","09:00","-","-","-","-8.5","-","-"
"Tampere Härmälä","2019","5","7","03:00","-1","-1","7.1","-","10.5","4.5"
"Tampere Härmälä","2019","5","7","09:00","-","-","-","0.6","-","-"
"Tampere Härmälä","2019","5","8","03:00","-1","-1","6.1","-","11.3","1.8"
"Tampere Härmälä","2019","5","8","09:00","-","-","-","-1.1","-","-"
"Tampere Härmälä","2019","5","9","03:00","-1","-1","10.1","-","15.6","1.8"
"Tampere Härmälä","2019","5","9","09:00","-","-","-","-2.5","-","-"
"Tampere Härmälä","2019","5","10","03:00","0.2","-1","8.8","-","13.5","4.4"
"Tampere Härmälä","2019","5","10","09:00","-","-","-","1.2","-","-"
"Tampere Härmälä","2019","5","11","03:00","14.1","-1","9.9","-","12.7","8.4"
"Tampere Härmälä","2019","5","11","09:00","-","-","-","7.9","-","-"
"Tampere Härmälä","2019","5","12","03:00","-1","-1","8.6","-","11.1","7.5"
"Tampere Härmälä","2019","5","12","09:00","-","-","-","7.4","-","-"
"Tampere Härmälä","2019","5","13","03:00","-1","-1","7.2","-","11.1","3.7"
"Tampere Härmälä","2019","5","13","09:00","-","-","-","0.9","-","-"
"Tampere Härmälä","2019","5","14","03:00","-1","-1","7.1","-","12.6","-1.1"
"Tampere Härmälä","2019","5","14","09:00","-","-","-","-5.7","-","-"
"Tampere Härmälä","2019","5","15","03:00","-1","-1","7.8","-","14.9","-1.4"
"Tampere Härmälä","2019","5","15","09:00","-","-","-","-6","-","-"
"Tampere Härmälä","2019","5","16","03:00","-1","-1","11.2","-","18.3","0.5"
"Tampere Härmälä","2019","5","16","09:00","-","-","-","-4","-","-"
"Tampere Härmälä","2019","5","17","03:00","-1","-1","12.4","-","19.7","3.1"
"Tampere Härmälä","2019","5","17","09:00","-","-","-","-1.5","-","-"
"Tampere Härmälä","2019","5","18","03:00","-1","-1","15.9","-","23.9","3.7"
"Tampere Härmälä","2019","5","18","09:00","-","-","-","-1.4","-","-"
"Tampere Härmälä","2019","5","19","03:00","-1","-1","18.1","-","24.8","6.3"
"Tampere Härmälä","2019","5","19","09:00","-","-","-","0.9","-","-"
"Tampere Härmälä","2019","5","20","03:00","-1","-1","20.5","-","27","15"
"Tampere Härmälä","2019","5","20","09:00","-","-","-","12.3","-","-"
"Tampere Härmälä","2019","5","21","03:00","0.1","-1","19.9","-","26.4","13"
"Tampere Härmälä","2019","5","21","09:00","-","-","-","8.8","-","-"
"Tampere Härmälä","2019","5","22","03:00","0.1","-1","18.3","-","24.5","10.6"
"Tampere Härmälä","2019","5","22","09:00","-","-","-","6","-","-"
"Tampere Härmälä","2019","5","23","03:00","2.4","-1","12.4","-","20.3","11.5"
"Tampere Härmälä","2019","5","23","09:00","-","-","-","13.3","-","-"
"Tampere Härmälä","2019","5","24","03:00","3.2","-1","10.2","-","14.1","7.2"
"Tampere Härmälä","2019","5","24","09:00","-","-","-","6.6","-","-"
"Tampere Härmälä","2019","5","25","03:00","2.3","-1","10.1","-","12.8","8.6"
"Tampere Härmälä","2019","5","25","09:00","-","-","-","8","-","-"
"Tampere Härmälä","2019","5","26","03:00","18.5","-1","8","-","10.4","5.9"
"Tampere Härmälä","2019","5","26","09:00","-","-","-","5.8","-","-"
"Tampere Härmälä","2019","5","27","03:00","0.3","-1","10.5","-","14.1","7.7"
"Tampere Härmälä","2019","5","27","09:00","-","-","-","6.8","-","-"
"Tampere Härmälä","2019","5","28","03:00","4.8","-1","12.5","-","17","8.1"
"Tampere Härmälä","2019","5","28","09:00","-","-","-","5.5","-","-"
"Tampere Härmälä","2019","5","29","03:00","-1","-1","11.2","-","17.1","9.1"
"Tampere Härmälä","2019","5","29","09:00","-","-","-","9.3","-","-"
"Tampere Härmälä","2019","5","30","03:00","3.6","-1","11.5","-","16.5","4.5"
"Tampere Härmälä","2019","5","30","09:00","-","-","-","0.7","-","-"
"Tampere Härmälä","2019","5","31","03:00","-1","-1","10.8","-","13.7","7.3"
"Tampere Härmälä","2019","5","31","09:00","-","-","-","6.8","-","-"
"Tampere Härmälä","2019","6","1","03:00","4.1","-1","11.6","-","18","6.7"
"Tampere Härmälä","2019","6","1","09:00","-","-","-","4.5","-","-"
"Tampere Härmälä","2019","6","2","03:00","-1","-1","11.2","-","16.4","8.2"
"Tampere Härmälä","2019","6","2","09:00","-","-","-","8.2","-","-"
"Tampere Härmälä","2019","6","3","03:00","0.2","-1","12.4","-","19","1.9"
"Tampere Härmälä","2019","6","3","09:00","-","-","-","-1.9","-","-"
"Tampere Härmälä","2019","6","4","03:00","-1","-1","17.6","-","22.8","13"
"Tampere Härmälä","2019","6","4","09:00","-","-","-","10.2","-","-"
"Tampere Härmälä","2019","6","5","03:00","-1","-1","18.7","-","25.1","9.8"
"Tampere Härmälä","2019","6","5","09:00","-","-","-","5.2","-","-"
"Tampere Härmälä","2019","6","6","03:00","-1","-1","24.1","-","29.8","14.4"
"Tampere Härmälä","2019","6","6","09:00","-","-","-","10.7","-","-"
"Tampere Härmälä","2019","6","7","03:00","-1","-1","24","-","30.1","15"
"Tampere Härmälä","2019","6","7","09:00","-","-","-","10.8","-","-"
"Tampere Härmälä","2019","6","8","03:00","19.4","-1","22.3","-","29.1","17.9"
"Tampere Härmälä","2019","6","8","09:00","-","-","-","13.5","-","-"
"Tampere Härmälä","2019","6","9","03:00","-1","-1","18.1","-","21.5","16.5"
"Tampere Härmälä","2019","6","9","09:00","-","-","-","12.9","-","-"
"Tampere Härmälä","2019","6","10","03:00","-1","-1","15.5","-","19.3","13.1"
"Tampere Härmälä","2019","6","10","09:00","-","-","-","12.3","-","-"
"Tampere Härmälä","2019","6","11","03:00","-1","-1","16","-","21.2","8.8"
"Tampere Härmälä","2019","6","11","09:00","-","-","-","5.1","-","-"
"Tampere Härmälä","2019","6","12","03:00","-1","-1","13","-","17.3","7.9"
"Tampere Härmälä","2019","6","12","09:00","-","-","-","6.8","-","-"
"Tampere Härmälä","2019","6","13","03:00","0.1","-1","15.1","-","18.6","11.5"
"Tampere Härmälä","2019","6","13","09:00","-","-","-","11","-","-"
"Tampere Härmälä","2019","6","14","03:00","0.2","-1","15.3","-","17.3","14.3"
"Tampere Härmälä","2019","6","14","09:00","-","-","-","13","-","-"
"Tampere Härmälä","2019","6","15","03:00","-1","-1","13.1","-","16.2","10.6"
"Tampere Härmälä","2019","6","15","09:00","-","-","-","10.6","-","-"
"Tampere Härmälä","2019","6","16","03:00","-1","-1","16.4","-","22.8","7"
"Tampere Härmälä","2019","6","16","09:00","-","-","-","4.1","-","-"
"Tampere Härmälä","2019","6","17","03:00","-1","-1","18.6","-","26.3","9.2"
"Tampere Härmälä","2019","6","17","09:00","-","-","-","5.2","-","-"
"Tampere Härmälä","2019","6","18","03:00","-1","-1","19.7","-","24","13.6"
"Tampere Härmälä","2019","6","18","09:00","-","-","-","8.7","-","-"
"Tampere Härmälä","2019","6","19","03:00","3.1","-1","19.4","-","24.4","15.4"
"Tampere Härmälä","2019","6","19","09:00","-","-","-","11.2","-","-"
"Tampere Härmälä","2019","6","20","03:00","-1","-1","20.6","-","27.1","12.2"
"Tampere Härmälä","2019","6","20","09:00","-","-","-","9.4","-","-"
"Tampere Härmälä","2019","6","21","03:00","0.3","-1","20.8","-","25.4","17.1"
"Tampere Härmälä","2019","6","21","09:00","-","-","-","14.7","-","-"
"Tampere Härmälä","2019","6","22","03:00","-1","-1","15.1","-","20.7","12.7"
"Tampere Härmälä","2019","6","22","09:00","-","-","-","9.2","-","-"
"Tampere Härmälä","2019","6","23","03:00","-1","-1","16.2","-","21.4","10.2"
"Tampere Härmälä","2019","6","23","09:00","-","-","-","6.5","-","-"
"Tampere Härmälä","2019","6","24","03:00","-1","-1","15.7","-","20.4","8.2"
"Tampere Härmälä","2019","6","24","09:00","-","-","-","3.6","-","-"
"Tampere Härmälä","2019","6","25","03:00","2.3","-1","15.6","-","21.9","7"
"Tampere Härmälä","2019","6","25","09:00","-","-","-","2.7","-","-"
"Tampere Härmälä","2019","6","26","03:00","5.3","-1","14.5","-","19.6","11.7"
"Tampere Härmälä","2019","6","26","09:00","-","-","-","11.3","-","-"
"Tampere Härmälä","2019","6","27","03:00","-1","-1","14.9","-","18.9","12.6"
"Tampere Härmälä","2019","6","27","09:00","-","-","-","12.4","-","-"
"Tampere Härmälä","2019","6","28","03:00","-1","-1","14.9","-","19.6","9.5"
"Tampere Härmälä","2019","6","28","09:00","-","-","-","6.4","-","-"
"Tampere Härmälä","2019","6","29","03:00","-1","-1","15.3","-","20.8","9.4"
"Tampere Härmälä","2019","6","29","09:00","-","-","-","6.1","-","-"
"Tampere Härmälä","2019","6","30","03:00","-1","-1","17.4","-","21.4","11.7"
"Tampere Härmälä","2019","6","30","09:00","-","-","-","9.8","-","-"
"Tampere Härmälä","2019","7","1","03:00","-1","-1","18.8","-","23.3","15.5"
"Tampere Härmälä","2019","7","1","09:00","-","-","-","14.2","-","-"
"Tampere Härmälä","2019","7","2","03:00","4.4","-1","14.1","-","19.7","11.1"
"Tampere Härmälä","2019","7","2","09:00","-","-","-","8.3","-","-"
"Tampere Härmälä","2019","7","3","03:00","-1","-1","13.8","-","18.8","8.6"
"Tampere Härmälä","2019","7","3","09:00","-","-","-","5.3","-","-"
"Tampere Härmälä","2019","7","4","03:00","3.2","-1","12.7","-","17.8","8.3"
"Tampere Härmälä","2019","7","4","09:00","-","-","-","5.8","-","-"
"Tampere Härmälä","2019","7","5","03:00","8.2","-1","11.7","-","14.3","8.3"
"Tampere Härmälä","2019","7","5","09:00","-","-","-","4.8","-","-"
"Tampere Härmälä","2019","7","6","03:00","-1","-1","15.9","-","20","12.1"
"Tampere Härmälä","2019","7","6","09:00","-","-","-","8.9","-","-"
"Tampere Härmälä","2019","7","7","03:00","9.6","-1","14.7","-","18.9","13.1"
"Tampere Härmälä","2019","7","7","09:00","-","-","-","10.7","-","-"
"Tampere Härmälä","2019","7","8","03:00","5.9","-1","13.1","-","15.9","10.7"
"Tampere Härmälä","2019","7","8","09:00","-","-","-","7.6","-","-"
"Tampere Härmälä","2019","7","9","03:00","-1","-1","12.1","-","13.9","9.9"
"Tampere Härmälä","2019","7","9","09:00","-","-","-","9.6","-","-"
"Tampere Härmälä","2019","7","10","03:00","0.2","-1","16.1","-","20.8","10.7"
"Tampere Härmälä","2019","7","10","09:00","-","-","-","8.6","-","-"
"Tampere Härmälä","2019","7","11","03:00","-1","-1","13.9","-","18.5","12.1"
"Tampere Härmälä","2019","7","11","09:00","-","-","-","11.2","-","-"
"Tampere Härmälä","2019","7","12","03:00","-1","-1","14.8","-","19.5","7.5"
"Tampere Härmälä","2019","7","12","09:00","-","-","-","4.6","-","-"
"Tampere Härmälä","2019","7","13","03:00","-1","-1","14.1","-","20","7.8"
"Tampere Härmälä","2019","7","13","09:00","-","-","-","3.9","-","-"
"Tampere Härmälä","2019","7","14","03:00","-1","-1","13.5","-","18.8","6.3"
"Tampere Härmälä","2019","7","14","09:00","-","-","-","2.6","-","-"
"Tampere Härmälä","2019","7","15","03:00","8.8","-1","15.8","-","20.1","6.6"
"Tampere Härmälä","2019","7","15","09:00","-","-","-","3","-","-"
"Tampere Härmälä","2019","7","16","03:00","12.5","-1","14.7","-","20.2","12.2"
"Tampere Härmälä","2019","7","16","09:00","-","-","-","11.1","-","-"
"Tampere Härmälä","2019","7","17","03:00","-1","-1","15.7","-","22","9.5"
"Tampere Härmälä","2019","7","17","09:00","-","-","-","6.3","-","-"
"Tampere Härmälä","2019","7","18","03:00","-1","-1","16.6","-","21.9","9.1"
"Tampere Härmälä","2019","7","18","09:00","-","-","-","5.8","-","-"
"Tampere Härmälä","2019","7","19","03:00","-1","-1","17.6","-","23.1","9.4"
"Tampere Härmälä","2019","7","19","09:00","-","-","-","5.7","-","-"
"Tampere Härmälä","2019","7","20","03:00","-1","-1","18.2","-","25","9.3"
"Tampere Härmälä","2019","7","20","09:00","-","-","-","5.7","-","-"
"Tampere Härmälä","2019","7","21","03:00","-1","-1","20.9","-","26.9","10.8"
"Tampere Härmälä","2019","7","21","09:00","-","-","-","7","-","-"
"Tampere Härmälä","2019","7","22","03:00","-1","-1","20.2","-","27.5","12.8"
"Tampere Härmälä","2019","7","22","09:00","-","-","-","9.1","-","-"
"Tampere Härmälä","2019","7","23","03:00","-1","-1","19.9","-","25","15.9"
"Tampere Härmälä","2019","7","23","09:00","-","-","-","12.3","-","-"
"Tampere Härmälä","2019","7","24","03:00","-1","-1","21","-","27.3","12.9"
"Tampere Härmälä","2019","7","24","09:00","-","-","-","9.2","-","-"
"Tampere Härmälä","2019","7","25","03:00","-1","-1","22.9","-","28.1","15.9"
"Tampere Härmälä","2019","7","25","09:00","-","-","-","12.7","-","-"
"Tampere Härmälä","2019","7","26","03:00","-1","-1","22.1","-","28.2","13.5"
"Tampere Härmälä","2019","7","26","09:00","-","-","-","10.1","-","-"
"Tampere Härmälä","2019","7","27","03:00","-1","-1","24.1","-","30.4","15.1"
"Tampere Härmälä","2019","7","27","09:00","-","-","-","11.9","-","-"
"Tampere Härmälä","2019","7","28","03:00","-1","-1","24.2","-","31","17.5"
"Tampere Härmälä","2019","7","28","09:00","-","-","-","14.8","-","-"
"Tampere Härmälä","2019","7","29","03:00","-1","-1","17.4","-","24.2","11.7"
"Tampere Härmälä","2019","7","29","09:00","-","-","-","7.9","-","-"
"Tampere Härmälä","2019","7","30","03:00","0.1","-1","12.4","-","18.2","9"
"Tampere Härmälä","2019","7","30","09:00","-","-","-","7.8","-","-"
"Tampere Härmälä","2019","7","31","03:00","-1","-1","14.9","-","18.9","11.4"
"Tampere Härmälä","2019","7","31","09:00","-","-","-","9.5","-","-"
"Tampere Härmälä","2019","8","1","03:00","-1","-1","11.9","-","17","5.5"
"Tampere Härmälä","2019","8","1","09:00","-","-","-","1.9","-","-"
"Tampere Härmälä","2019","8","2","03:00","-1","-1","14.9","-","18.9","8.5"
"Tampere Härmälä","2019","8","2","09:00","-","-","-","4.9","-","-"
"Tampere Härmälä","2019","8","3","03:00","-1","-1","12.3","-","15.6","9.3"
"Tampere Härmälä","2019","8","3","09:00","-","-","-","6","-","-"
"Tampere Härmälä","2019","8","4","03:00","-1","-1","12.4","-","17.2","5.9"
"Tampere Härmälä","2019","8","4","09:00","-","-","-","2","-","-"
"Tampere Härmälä","2019","8","5","03:00","-1","-1","14.6","-","21.6","6.4"
"Tampere Härmälä","2019","8","5","09:00","-","-","-","3.1","-","-"
"Tampere Härmälä","2019","8","6","03:00","-1","-1","15.6","-","21.5","5.9"
"Tampere Härmälä","2019","8","6","09:00","-","-","-","2.1","-","-"
"Tampere Härmälä","2019","8","7","03:00","0.5","-1","16.3","-","22.6","9.8"
"Tampere Härmälä","2019","8","7","09:00","-","-","-","6.6","-","-"
"Tampere Härmälä","2019","8","8","03:00","0.1","-1","16.7","-","21.6","13.9"
"Tampere Härmälä","2019","8","8","09:00","-","-","-","11.8","-","-"
"Tampere Härmälä","2019","8","9","03:00","0.1","-1","16.6","-","22","11.9"
"Tampere Härmälä","2019","8","9","09:00","-","-","-","9.4","-","-"
"Tampere Härmälä","2019","8","10","03:00","-1","-1","17.4","-","24.3","7.9"
"Tampere Härmälä","2019","8","10","09:00","-","-","-","4.4","-","-"
"Tampere Härmälä","2019","8","11","03:00","5.5","-1","16.7","-","20.3","13.4"
"Tampere Härmälä","2019","8","11","09:00","-","-","-","10.8","-","-"
"Tampere Härmälä","2019","8","12","03:00","0.7","-1","18.2","-","21.5","15.7"
"Tampere Härmälä","2019","8","12","09:00","-","-","-","14.9","-","-"
"Tampere Härmälä","2019","8","13","03:00","0.5","-1","18.5","-","23.8","15.7"
"Tampere Härmälä","2019","8","13","09:00","-","-","-","14.8","-","-"
"Tampere Härmälä","2019","8","14","03:00","5.5","-1","13.6","-","19.3","12.7"
"Tampere Härmälä","2019","8","14","09:00","-","-","-","9.3","-","-"
"Tampere Härmälä","2019","8","15","03:00","-1","-1","13.2","-","17.3","9"
"Tampere Härmälä","2019","8","15","09:00","-","-","-","5.9","-","-"
"Tampere Härmälä","2019","8","16","03:00","0.5","-1","15.1","-","21.3","7.2"
"Tampere Härmälä","2019","8","16","09:00","-","-","-","3.7","-","-"
"Tampere Härmälä","2019","8","17","03:00","-1","-1","18.8","-","22.6","15.4"
"Tampere Härmälä","2019","8","17","09:00","-","-","-","13","-","-"
"Tampere Härmälä","2019","8","18","03:00","17.1","-1","17.6","-","21","15.6"
"Tampere Härmälä","2019","8","18","09:00","-","-","-","11","-","-"
"Tampere Härmälä","2019","8","19","03:00","0.3","-1","16.6","-","20.2","14.7"
"Tampere Härmälä","2019","8","19","09:00","-","-","-","13.8","-","-"
"Tampere Härmälä","2019","8","20","03:00","-1","-1","17.4","-","22.1","11.6"
"Tampere Härmälä","2019","8","20","09:00","-","-","-","7.9","-","-"
"Tampere Härmälä","2019","8","21","03:00","-1","-1","16.2","-","21.9","12.9"
"Tampere Härmälä","2019","8","21","09:00","-","-","-","9.8","-","-"
"Tampere Härmälä","2019","8","22","03:00","1.4","-1","14.6","-","20.1","9.3"
"Tampere Härmälä","2019","8","22","09:00","-","-","-","6.1","-","-"
"Tampere Härmälä","2019","8","23","03:00","7.8","-1","14.7","-","19","12.1"
"Tampere Härmälä","2019","8","23","09:00","-","-","-","8.5","-","-"
"Tampere Härmälä","2019","8","24","03:00","-1","-1","14.4","-","20.2","10.5"
"Tampere Härmälä","2019","8","24","09:00","-","-","-","7.5","-","-"
"Tampere Härmälä","2019","8","25","03:00","-1","-1","15.2","-","22.2","5.9"
"Tampere Härmälä","2019","8","25","09:00","-","-","-","3.1","-","-"
"Tampere Härmälä","2019","8","26","03:00","-1","-1","18.2","-","23","15.1"
"Tampere Härmälä","2019","8","26","09:00","-","-","-","14","-","-"
"Tampere Härmälä","2019","8","27","03:00","-1","-1","18.1","-","25.7","10"
"Tampere Härmälä","2019","8","27","09:00","-","-","-","7.4","-","-"
"Tampere Härmälä","2019","8","28","03:00","-1","-1","19.6","-","27","11.1"
"Tampere Härmälä","2019","8","28","09:00","-","-","-","8","-","-"
"Tampere Härmälä","2019","8","29","03:00","4.6","-1","20.7","-","26","14.8"
"Tampere Härmälä","2019","8","29","09:00","-","-","-","11.4","-","-"
"Tampere Härmälä","2019","8","30","03:00","-1","-1","18.3","-","22.4","16.8"
"Tampere Härmälä","2019","8","30","09:00","-","-","-","15.4","-","-"
"Tampere Härmälä","2019","8","31","03:00","-1","-1","16.9","-","22.3","11.3"
"Tampere Härmälä","2019","8","31","09:00","-","-","-","7.8","-","-"
"Tampere Härmälä","2019","9","1","03:00","-1","-1","18.7","-","24.1","13.4"
"Tampere Härmälä","2019","9","1","09:00","-","-","-","10.2","-","-"
"Tampere Härmälä","2019","9","2","03:00","2.2","-1","17.2","-","23.7","13.6"
"Tampere Härmälä","2019","9","2","09:00","-","-","-","11.9","-","-"
"Tampere Härmälä","2019","9","3","03:00","-1","-1","13.6","-","18.6","10.5"
"Tampere Härmälä","2019","9","3","09:00","-","-","-","7.7","-","-"
"Tampere Härmälä","2019","9","4","03:00","1.1","-1","13.3","-","19.4","8.4"
"Tampere Härmälä","2019","9","4","09:00","-","-","-","4.4","-","-"
"Tampere Härmälä","2019","9","5","03:00","4.1","-1","13.4","-","17.7","5.5"
"Tampere Härmälä","2019","9","5","09:00","-","-","-","2","-","-"
"Tampere Härmälä","2019","9","6","03:00","0.4","-1","12.2","-","17.2","10.6"
"Tampere Härmälä","2019","9","6","09:00","-","-","-","7.2","-","-"
"Tampere Härmälä","2019","9","7","03:00","2.3","-1","11","-","16.7","4.9"
"Tampere Härmälä","2019","9","7","09:00","-","-","-","1.5","-","-"
"Tampere Härmälä","2019","9","8","03:00","0.1","-1","14.7","-","19","11.5"
"Tampere Härmälä","2019","9","8","09:00","-","-","-","9.7","-","-"
"Tampere Härmälä","2019","9","9","03:00","1","-1","15.1","-","16.2","13.2"
"Tampere Härmälä","2019","9","9","09:00","-","-","-","12.4","-","-"
"Tampere Härmälä","2019","9","10","03:00","-1","-1","17.6","-","22.4","14.7"
"Tampere Härmälä","2019","9","10","09:00","-","-","-","14.1","-","-"
"Tampere Härmälä","2019","9","11","03:00","7.2","-1","15.2","-","18.5","14.1"
"Tampere Härmälä","2019","9","11","09:00","-","-","-","12.2","-","-"
"Tampere Härmälä","2019","9","12","03:00","3.2","-1","13.9","-","16.2","13"
"Tampere Härmälä","2019","9","12","09:00","-","-","-","12","-","-"
"Tampere Härmälä","2019","9","13","03:00","0.1","-1","12.4","-","15.6","10.5"
"Tampere Härmälä","2019","9","13","09:00","-","-","-","10","-","-"
"Tampere Härmälä","2019","9","14","03:00","6.2","-1","9.8","-","13.3","6.7"
"Tampere Härmälä","2019","9","14","09:00","-","-","-","3.4","-","-"
"Tampere Härmälä","2019","9","15","03:00","5.2","-1","9.3","-","12.9","6"
"Tampere Härmälä","2019","9","15","09:00","-","-","-","2","-","-"
"Tampere Härmälä","2019","9","16","03:00","0.8","-1","8.4","-","10.7","6.7"
"Tampere Härmälä","2019","9","16","09:00","-","-","-","4","-","-"
"Tampere Härmälä","2019","9","17","03:00","2.3","-1","8.5","-","12.2","3.6"
"Tampere Härmälä","2019","9","17","09:00","-","-","-","1.8","-","-"
"Tampere Härmälä","2019","9","18","03:00","-1","-1","6.9","-","11.4","4.9"
"Tampere Härmälä","2019","9","18","09:00","-","-","-","3.7","-","-"
"Tampere Härmälä","2019","9","19","03:00","0.1","-1","4.5","-","9.9","-0.1"
"Tampere Härmälä","2019","9","19","09:00","-","-","-","-2.8","-","-"
"Tampere Härmälä","2019","9","20","03:00","1.4","-1","4.9","-","10.4","-1.8"
"Tampere Härmälä","2019","9","20","09:00","-","-","-","-5.3","-","-"
"Tampere Härmälä","2019","9","21","03:00","0.3","-1","7.4","-","10","5.8"
"Tampere Härmälä","2019","9","21","09:00","-","-","-","4.9","-","-"
